Rank1	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU820	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	?
OTU44	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK4A136 group	?
OTU176	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	?	?
OTU857	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	?	?
OTU272	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	?	?
OTU2627	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	?	?
OTU725	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	uncultured organism
OTU1635	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK4A136 group	?
OTU23	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK4A136 group	?
OTU2487	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	?	?
OTU313	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	?	?
OTU133	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	?	?
OTU301	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	?	?
OTU221	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	?	?
OTU3641	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	?	?
OTU45	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK4A136 group	?
OTU4030	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	?	?
OTU1154	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerosporobacter	?
OTU471	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus 1	?
OTU4014	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus 1	uncultured organism
OTU51	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus 1	?
OTU33	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus 1	?
OTU3357	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus 1	?
OTU140	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus 1	?
OTU1617	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus 1	?
OTU60	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae UCG-008	?
OTU38	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Incertae Sedis	?
OTU76	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Tyzzerella 3	?
OTU2396	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Tyzzerella 3	?
OTU235	Bacteria	Firmicutes	Clostridia	Clostridiales	Defluviitaleaceae	Defluviitaleaceae UCG-011	uncultured organism
OTU74	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	?	?
OTU3657	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	?	?
OTU1342	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae UCG-010	?
OTU191	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Tyzzerella	uncultured organism
OTU207	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Tyzzerella	uncultured organism
OTU1705	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae 1	?	?
OTU850	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae 1	Clostridium sensu stricto 1	?
OTU1702	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae 1	Clostridium sensu stricto 13	?
OTU273	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae 1	Clostridium sensu stricto 1	?
OTU854	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae 1	Clostridium sensu stricto 1	?
OTU240	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales vadinBB60 group	uncultured Clostridiales bacterium	?
OTU230	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales vadinBB60 group	?	?
OTU1181	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales vadinBB60 group	?	?
OTU132	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales vadinBB60 group	?	?
OTU288	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales vadinBB60 group	uncultured Clostridiales bacterium	?
OTU332	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales vadinBB60 group	?	?
OTU378	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales vadinBB60 group	?	?
OTU162	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales vadinBB60 group	?	?
OTU283	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales vadinBB60 group	?	?
OTU92	Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
OTU3650	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales vadinBB60 group	?	?
OTU171	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales vadinBB60 group	?	?
OTU218	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales vadinBB60 group	?	?
OTU115	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales vadinBB60 group	?	?
OTU317	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales vadinBB60 group	?	?
OTU2476	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales vadinBB60 group	?	?
OTU928	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales vadinBB60 group	?	?
OTU91	Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
OTU1603	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales vadinBB60 group	?	?
