# Constructed from biom file
OTU ID	D3NPNeg	E3NPNeg	BBeads	F1PNeg	B3PBulk	D2PPos	D2NPBulk	CBeads	F2PNeg	F2NPNeg	C3PNeg	C1PPos	B1PNeg	C1PNeg	F1PBulk	C1NPBulk	BControl	FBeads	B1PBulk	D1PNeg	B3NPPos	D2NPNeg	D3PNeg	F1NPPos	C3NPNeg	EControl	B1PPos	F3NPPos	E2NPPos	F1NPNeg	B2NPNeg	C1PBulk	D1NPBulk	B2NPBulk	E3PBulk	B2PPos	F3NPBulk	C1NPNeg	D2NPPos	E3PPos	F3PNeg	F3NPNeg	F2NPPos	D1NPPos	B3NPNeg	EBeads	C1NPPos	E1PPos	E3NPPos	E1NPPos	E2PNeg	C3NPBulk	E3PNeg	D3NPPos	E1PNeg	B3NPBulk	F1NPBulk	B2NPPos	D2PNeg	E1PBulk	FControl	F2PPos	D1NPNeg	DBeads	D1PBulk	E3NPBulk	F2NPBulk	D3PPos	F1PPos	D1PPos	B1NPPos	B3PNeg	E2NPBulk	E1NPBulk	E2PPos	F3PPos	B1NPNeg	F3PBulk	B2PBulk	D3NPBulk	B2PNeg
OTU28	0.0	3.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	2.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	5.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	6.0	1.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0
OTU26	0.0	2.0	0.0	619.0	0.0	210.0	146.0	0.0	126.0	177.0	0.0	370.0	6095.0	1115.0	874.0	405.0	0.0	0.0	2355.0	1041.0	0.0	537.0	63.0	59.0	0.0	0.0	576.0	1.0	0.0	1004.0	0.0	882.0	904.0	0.0	5.0	1.0	0.0	574.0	31.0	0.0	2.0	0.0	0.0	698.0	0.0	0.0	219.0	800.0	0.0	50.0	0.0	0.0	1.0	0.0	1518.0	0.0	786.0	0.0	794.0	2949.0	0.0	120.0	9.0	0.0	852.0	0.0	118.0	0.0	590.0	128.0	1892.0	0.0	0.0	1586.0	0.0	0.0	2819.0	0.0	13.0	83.0	71.0
OTU25	0.0	1.0	0.0	48.0	0.0	15.0	7.0	0.0	39.0	1.0	0.0	24.0	57.0	41.0	378.0	12.0	0.0	0.0	256.0	69.0	0.0	40.0	0.0	26.0	0.0	0.0	38.0	0.0	0.0	311.0	0.0	31.0	61.0	0.0	4.0	3.0	1.0	28.0	5.0	2.0	0.0	0.0	0.0	43.0	0.0	0.0	16.0	106.0	0.0	22.0	0.0	0.0	0.0	0.0	86.0	1.0	326.0	0.0	67.0	237.0	0.0	0.0	1.0	0.0	50.0	0.0	26.0	6.0	460.0	14.0	134.0	1.0	2.0	124.0	0.0	1.0	237.0	0.0	0.0	2.0	1.0
OTU23	0.0	4.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	80.0	2.0	3.0	0.0	0.0	0.0	105.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	8.0	0.0	0.0	0.0	0.0	6.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	45.0	0.0	461.0	0.0	0.0	1.0	0.0	4122.0	0.0	1.0	0.0	0.0	9203.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2695.0	1.0	2.0	5819.0	0.0	0.0	122.0	1.0	0.0	0.0	0.0
OTU24	7.0	0.0	0.0	13.0	0.0	1284.0	1203.0	0.0	191.0	45.0	0.0	1787.0	18.0	1410.0	402.0	708.0	0.0	1.0	67.0	3705.0	0.0	2318.0	344.0	21.0	0.0	0.0	5.0	0.0	1.0	531.0	0.0	1576.0	2849.0	0.0	0.0	0.0	0.0	1186.0	392.0	0.0	0.0	0.0	0.0	2224.0	0.0	0.0	737.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	360.0	0.0	3476.0	31.0	0.0	6.0	386.0	0.0	2645.0	0.0	61.0	99.0	480.0	1039.0	36.0	0.0	0.0	18.0	0.0	0.0	85.0	0.0	1.0	63.0	0.0
OTU19	0.0	8309.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	8981.0	0.0	0.0	1.0	1.0	9762.0	1.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	1811.0	0.0	0.0	0.0	1680.0	0.0	0.0	1.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	1.0	1896.0	1.0	0.0	0.0	2.0	14.0	0.0	125.0	23.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
OTU21	0.0	0.0	0.0	57.0	0.0	299.0	100.0	1.0	0.0	1.0	78.0	2778.0	55.0	361.0	605.0	868.0	0.0	0.0	488.0	1304.0	0.0	170.0	24.0	352.0	34.0	0.0	168.0	3.0	0.0	1183.0	0.0	650.0	1118.0	0.0	3.0	0.0	0.0	1235.0	51.0	3.0	2.0	1.0	0.0	1629.0	0.0	0.0	2583.0	346.0	0.0	0.0	0.0	58.0	0.0	0.0	3.0	0.0	1206.0	0.0	285.0	11.0	0.0	0.0	294.0	0.0	2937.0	0.0	0.0	1.0	882.0	6324.0	119.0	50.0	0.0	3.0	0.0	0.0	516.0	1.0	0.0	0.0	0.0
OTU27	0.0	0.0	0.0	3.0	0.0	227.0	73.0	0.0	62.0	200.0	0.0	860.0	113.0	21.0	774.0	121.0	0.0	0.0	4202.0	49.0	0.0	100.0	0.0	379.0	0.0	0.0	1101.0	0.0	0.0	841.0	1.0	119.0	119.0	39.0	0.0	0.0	0.0	144.0	80.0	0.0	0.0	0.0	0.0	63.0	1.0	0.0	189.0	1743.0	0.0	191.0	0.0	0.0	0.0	0.0	224.0	1.0	770.0	0.0	62.0	807.0	0.0	103.0	2.0	0.0	102.0	0.0	57.0	1.0	901.0	187.0	1544.0	0.0	0.0	498.0	0.0	1.0	6282.0	0.0	0.0	0.0	0.0
OTU33	0.0	0.0	0.0	149.0	0.0	579.0	770.0	0.0	48.0	0.0	0.0	500.0	592.0	890.0	516.0	432.0	0.0	0.0	466.0	1643.0	0.0	1213.0	210.0	21.0	0.0	0.0	124.0	1.0	0.0	492.0	0.0	698.0	1690.0	0.0	1.0	0.0	0.0	607.0	132.0	0.0	0.0	1.0	0.0	1076.0	1.0	0.0	308.0	207.0	0.0	37.0	0.0	0.0	1.0	0.0	759.0	1.0	392.0	0.0	2082.0	880.0	0.0	54.0	23.0	0.0	1634.0	0.0	51.0	1.0	520.0	407.0	475.0	1.0	1.0	371.0	0.0	0.0	505.0	1.0	0.0	79.0	0.0
OTU32	0.0	1.0	0.0	29.0	0.0	191.0	155.0	0.0	1.0	83.0	0.0	0.0	24.0	0.0	863.0	0.0	0.0	0.0	438.0	911.0	0.0	338.0	41.0	131.0	0.0	0.0	123.0	1.0	0.0	823.0	0.0	3.0	1137.0	0.0	0.0	0.0	0.0	0.0	113.0	9.0	0.0	0.0	0.0	813.0	0.0	0.0	2.0	182.0	0.0	10.0	0.0	0.0	0.0	0.0	53.0	0.0	794.0	0.0	544.0	328.0	0.0	1.0	115.0	0.0	766.0	1.0	39.0	0.0	884.0	340.0	129.0	0.0	1.0	248.0	0.0	0.0	477.0	0.0	9.0	0.0	0.0
