OTU,pf3-t0,pf7-t0,pf13-t0,pf14-t0,pf34-t0,pf3-aerobic-9d,pf7-aerobic-9d,pf13-aerobic-9d,pf14-aerobic-9d,pf34-aerobic-9d,pf3-anaerobic-9d,pf7-anaerobic-9d,pf13-anaerobic-9d,pf14-anaerobic-9d,pf34-anaerobic-9d,pf3-aerobic-94d,pf7-aerobic-94d,pf13-aerobic-94d,pf14-aerobic-94d,pf34-aerobic-94d,pf3-anaerobic-94d,pf7-anaerobic-94d,pf13-anaerobic-94d,pf14-anaerobic-94d,pf34-anaerobic-94d
OTU_67,43,104,262,144,128,73,459,572,165,229,421,193,56,17,84,14,5,32,2,12,74,80,192,14,33
OTU_97,44,15,101,601,129,54,49,285,551,200,390,20,27,140,81,8,1,16,38,28,98,27,119,190,44
OTU_69,1,6,59,353,187,0,1,49,150,235,4,5,21,56,60,274,0,184,1,1495,0,1,36,29,24
OTU_95,0,16,118,23,53,0,56,258,20,176,1,33,41,8,42,132,453,873,112,653,1,21,81,2,20
OTU_77,0,2,0,7,103,1,8,4,6,107,23,23,0,0,28,203,183,832,1324,217,7,51,20,15,0
OTU_93,86,167,25,324,61,126,282,20,323,182,472,264,21,104,69,28,16,6,18,22,174,182,19,112,27
OTU_104,40,162,129,54,144,85,629,246,144,288,393,276,30,21,85,13,10,14,5,19,57,92,78,26,52
OTU_57,134,65,5,145,55,247,229,4,74,83,1456,108,1,21,27,41,3,0,7,11,229,97,3,27,16
OTU_91,81,74,85,450,46,97,448,132,563,131,385,142,18,67,30,21,6,6,20,4,84,55,58,35,20
OTU_5218,29,31,10,436,118,64,313,23,388,231,1008,94,2,29,46,12,4,0,13,7,74,53,8,37,19
OTU_114,26,18,158,489,98,48,120,322,732,219,165,43,35,117,48,5,0,19,37,12,30,15,90,85,38
OTU_34,52,83,37,174,243,85,276,98,129,410,639,147,14,27,113,10,6,4,6,42,96,143,26,33,65
OTU_304,59,69,76,482,54,66,241,208,575,168,435,76,13,74,15,12,2,8,19,5,66,55,45,51,6
OTU_90,29,72,102,164,76,53,294,140,299,169,133,97,16,49,57,184,161,219,162,132,58,68,63,41,31
OTU_65,10,22,23,11,15,48,28,68,7,460,82,33,5,1,12,918,56,717,98,168,23,28,28,0,7
OTU_36,89,52,41,153,168,218,177,70,138,332,724,71,8,23,94,34,5,3,7,33,175,35,23,16,39
OTU_125,15,9,134,483,115,22,82,448,674,185,95,22,40,74,37,2,0,19,18,20,13,7,94,56,21
OTU_3120,67,55,18,251,72,138,371,39,209,97,912,99,2,18,25,18,9,1,6,4,133,72,8,14,12
OTU_59,26,39,26,272,51,39,212,89,227,58,336,86,9,57,12,134,63,287,385,67,44,65,15,32,2
OTU_51,28,8,196,549,88,39,34,330,361,130,181,17,57,72,55,7,0,36,30,24,53,16,145,94,30
OTU_106,42,32,112,138,121,86,123,460,128,197,503,54,34,19,42,13,3,20,2,16,90,52,86,19,47
OTU_94,3,30,7,767,150,16,36,7,447,406,58,17,2,97,127,0,0,1,11,43,10,5,6,43,81
OTU_92,56,68,60,260,46,97,226,127,237,241,418,92,10,48,52,15,4,3,9,17,124,57,38,31,26
OTU_136,13,17,6,25,4,227,691,313,800,13,75,61,13,11,7,5,1,10,12,1,17,16,20,4,0
OTU_60,43,83,30,456,36,45,259,45,438,120,351,109,4,73,25,13,3,1,13,6,61,51,14,45,12
OTU_84,36,65,139,374,93,70,159,192,182,100,277,121,36,50,48,11,8,16,14,8,51,100,46,53,9
OTU_72,54,76,12,337,54,65,381,22,345,125,318,159,1,34,30,13,3,0,9,8,72,54,9,40,30
OTU_190,1,1,1,14,4,0,20,4,10,4,3,10,0,1,1,2,56,93,1805,212,0,8,0,1,0
OTU_115,64,62,30,283,13,126,252,53,319,7,578,100,10,59,5,22,5,1,8,1,75,45,23,33,1
OTU_118,22,9,140,217,143,58,52,90,185,157,167,32,8,42,80,49,13,65,115,40,82,40,57,118,33
OTU_131,46,13,23,46,127,156,75,81,45,288,739,28,7,7,71,12,3,7,1,22,111,17,15,7,47
OTU_132,40,22,59,392,33,45,167,143,435,99,246,51,10,39,22,9,2,4,10,5,37,11,38,45,9
OTU_130,23,14,30,222,218,33,41,75,155,464,206,20,8,35,125,5,1,4,6,51,22,16,21,31,110
OTU_3210,73,43,11,231,5,136,163,14,235,3,711,67,0,40,4,21,1,0,5,3,122,29,1,15,0
OTU_108,43,0,8,33,315,96,5,25,27,489,410,3,3,1,138,44,3,20,16,100,102,3,15,18,5
OTU_86,7,7,19,38,102,6,44,30,28,135,61,21,8,4,70,4,11,38,802,202,24,66,17,78,53
OTU_81,18,5,16,127,286,19,35,89,129,366,101,9,6,10,97,42,17,74,126,101,34,21,35,25,51
OTU_2408,8,3,28,41,280,34,11,44,51,329,56,16,7,23,327,9,2,14,40,208,27,14,22,26,192
OTU_4485,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,37,68,0,1685,0,0,0,0,0
OTU_80,40,30,53,274,82,111,85,97,287,95,256,21,11,59,29,9,2,5,16,9,84,20,29,68,21
OTU_137,52,7,19,142,51,118,65,89,115,95,700,18,6,19,19,17,1,5,6,8,128,22,28,28,24
OTU_116,45,71,18,159,17,78,346,59,242,39,311,134,2,32,11,16,6,2,7,1,75,33,15,21,10
OTU_3636,16,9,114,204,34,25,52,259,309,173,132,11,51,40,48,6,0,18,9,11,34,9,94,43,35
OTU_1775,4,8,5,48,108,14,8,13,49,184,27,10,2,16,60,108,31,21,702,130,11,15,7,92,47
OTU_103,25,67,34,351,3,22,245,51,358,17,197,114,6,60,6,1,1,4,13,1,32,35,18,46,3
OTU_107,14,158,30,208,72,23,433,56,104,126,85,167,9,33,41,2,6,2,2,4,14,95,6,14,3
OTU_96,72,103,90,103,26,94,208,49,129,104,143,107,22,7,59,21,2,16,0,14,130,59,54,9,41
OTU_87,52,27,41,378,26,38,68,45,311,73,216,38,14,61,33,10,4,6,10,6,39,37,36,50,10
OTU_124,38,2,49,327,34,63,14,26,248,104,378,13,19,79,49,2,0,2,7,6,53,2,48,46,13
OTU_170,34,29,58,199,50,48,106,189,198,86,238,48,22,47,36,6,3,17,7,12,58,33,44,38,13
OTU_85,55,34,3,166,43,71,141,3,151,77,512,76,1,26,32,14,9,1,5,5,90,74,0,19,8
OTU_41,25,11,51,276,83,30,139,125,158,123,232,53,19,40,33,6,1,12,10,18,33,22,57,38,3
OTU_380,19,49,2,322,29,21,180,20,349,49,236,59,6,41,15,8,2,0,13,7,29,34,8,30,9
OTU_155,62,70,92,218,36,50,120,67,121,84,134,71,24,48,34,3,3,14,9,8,75,57,63,50,21
OTU_1975,87,53,10,145,27,105,102,34,225,54,346,66,3,24,24,22,2,1,4,4,121,26,9,30,9
OTU_111,22,42,4,353,64,36,117,2,194,152,153,47,0,40,53,7,4,0,27,12,54,52,1,54,28
OTU_6990,100,47,186,0,0,205,0,0,0,1,0,111,47,50,57,67,13,65,46,64,161,85,115,80,16
OTU_2938,15,27,6,253,54,27,192,18,323,134,207,51,3,30,32,3,3,0,6,5,30,27,3,25,14
OTU_4722,0,2,31,125,190,0,7,78,57,105,0,1,5,11,20,0,0,0,0,808,0,2,12,8,8
OTU_117,6,6,3,141,197,6,22,8,62,563,38,13,0,15,143,12,0,0,6,105,16,8,1,8,91
OTU_232,0,11,17,23,12,10,27,13,31,18,30,264,0,3,8,83,95,185,453,80,24,22,17,10,18
OTU_143,49,67,71,11,12,78,167,191,12,54,316,91,21,4,13,8,7,18,0,7,103,75,65,1,10
OTU_1774,15,58,36,263,38,20,112,39,213,124,176,58,11,49,42,5,4,5,13,13,33,32,26,26,22
OTU_164,13,9,56,301,21,31,27,10,164,313,157,28,20,34,95,3,1,7,6,13,18,12,35,33,17
OTU_141,22,6,31,257,140,41,37,75,167,179,134,20,6,60,66,2,2,7,5,14,20,12,15,53,41
OTU_32,13,23,41,322,57,16,87,45,250,103,143,43,6,57,41,4,1,1,17,8,22,29,22,34,14
OTU_281,1,3,17,5,32,0,5,4,1,641,5,0,5,0,167,0,0,1,0,348,0,0,8,1,98
OTU_112,39,35,20,179,27,73,139,26,110,34,293,77,4,33,15,6,3,4,3,4,79,55,12,40,8
OTU_171,3,6,715,76,37,8,39,23,22,90,46,19,2,6,23,3,9,45,84,12,5,9,15,10,10
OTU_259,18,24,74,224,22,15,115,156,187,117,122,40,16,32,26,3,3,5,2,8,18,15,41,18,12
OTU_88,26,54,12,175,9,28,182,18,370,24,130,84,6,57,6,3,0,1,7,1,25,30,12,42,5
OTU_133,29,2,53,159,42,35,13,129,193,135,211,10,20,49,38,3,2,11,7,15,40,3,45,24,34
OTU_122,24,42,64,83,53,51,102,154,58,116,243,45,12,16,38,6,2,7,3,9,42,20,47,6,29
OTU_98,17,37,12,5,67,59,196,41,4,139,326,121,8,0,57,6,3,0,0,13,33,83,13,0,28
OTU_162,2,6,8,8,56,4,18,5,12,844,47,6,7,0,171,0,0,0,1,38,5,2,5,2,13
OTU_5549,195,55,12,1,2,270,36,2,1,1,147,79,8,6,4,49,6,0,0,5,310,57,6,3,4
OTU_148,1,13,27,142,65,0,59,115,145,399,16,16,4,13,62,2,3,12,19,62,1,9,20,6,34
OTU_101,19,19,75,199,22,24,57,84,182,123,102,28,22,45,51,4,1,7,16,15,28,19,30,47,20
OTU_135,23,18,68,36,27,59,96,186,34,64,306,28,26,8,12,7,7,23,4,4,37,22,59,5,8
OTU_144,19,41,9,257,4,26,139,11,261,9,163,51,3,42,2,6,2,1,4,0,31,37,3,33,1
OTU_194,29,8,34,122,90,37,29,51,124,171,145,15,10,48,56,4,0,4,4,25,45,7,22,16,26
OTU_3,13,15,138,80,17,25,91,287,167,36,65,17,16,13,4,1,0,17,2,1,15,9,75,5,0
OTU_278,10,17,17,226,32,23,36,7,91,310,151,18,0,8,80,1,0,5,3,25,11,3,4,6,19
OTU_142,17,12,28,124,109,33,57,53,128,168,88,22,3,16,67,12,4,1,4,21,29,4,17,26,31
OTU_129,51,24,22,72,15,86,76,38,111,60,297,36,5,18,14,23,0,3,8,0,64,5,17,9,1
OTU_261,0,1,500,104,1,0,4,19,7,12,2,337,1,8,3,0,0,2,0,0,0,1,3,9,2
OTU_2283,18,21,21,189,24,15,72,44,189,91,115,31,7,23,19,5,0,2,3,10,25,36,15,29,9
OTU_105,24,26,5,117,6,72,117,9,99,11,308,55,2,23,6,14,1,0,2,0,56,36,4,15,1
OTU_191,9,16,17,225,1,23,77,21,319,16,112,24,4,44,1,5,1,2,9,0,20,10,12,21,2
OTU_216,3,13,76,223,16,5,59,112,215,70,32,18,21,21,12,1,1,4,4,2,4,7,39,23,5
OTU_238,8,11,4,81,67,11,22,2,35,418,92,18,5,4,122,2,1,0,0,19,6,6,1,3,38
OTU_2153,0,5,18,10,18,0,51,58,2,128,0,17,9,4,11,27,86,229,193,61,1,12,21,3,10
OTU_5215,24,28,93,17,2,71,5,0,13,5,7,73,28,74,108,4,6,25,26,50,46,39,63,65,91
OTU_209,23,1,64,87,103,32,2,78,92,133,81,3,16,32,51,1,0,18,3,13,20,1,38,21,32
OTU_166,6,5,10,175,62,12,21,22,173,130,69,14,2,59,42,0,1,2,3,23,20,13,7,39,32
OTU_375,14,10,35,101,86,20,43,78,81,97,151,14,8,14,28,6,1,4,7,10,32,16,30,20,18
OTU_174,12,23,11,178,17,27,56,9,289,15,60,28,2,61,11,4,1,1,13,0,19,23,11,40,3
OTU_153,5,5,61,102,78,12,10,92,91,171,34,7,14,27,66,1,0,11,7,21,5,5,36,18,33
OTU_110,10,40,67,120,14,25,128,56,62,48,67,61,18,21,17,3,2,10,4,6,29,34,36,11,17
OTU_147,37,98,3,76,15,33,81,2,52,49,79,106,0,29,33,3,13,1,4,11,30,106,4,30,7
OTU_834,6,6,8,39,25,38,277,49,190,32,79,22,1,5,8,17,9,17,37,3,11,11,8,2,0
OTU_240,29,8,10,84,21,23,5,0,95,120,140,15,3,39,116,5,0,1,4,21,45,12,6,34,55
OTU_193,30,38,4,123,13,33,152,11,131,39,127,65,2,24,19,3,2,1,4,3,16,20,1,14,8
OTU_169,1,0,1,66,177,1,3,2,47,290,3,4,0,23,128,1,0,1,0,37,0,3,2,11,77
OTU_265,6,7,12,194,26,21,16,15,164,158,82,2,2,25,67,3,0,1,4,8,9,1,4,17,27
OTU_200,4,5,26,29,213,3,26,47,7,249,31,9,2,1,83,1,0,0,0,43,5,16,14,4,47
OTU_68,13,10,12,95,78,30,18,15,67,202,68,12,3,17,69,4,1,0,2,38,20,16,10,14,49
OTU_177,3,10,8,69,179,3,15,10,62,240,6,13,2,11,93,0,0,2,1,29,1,6,4,14,81
OTU_4738,1,1,19,212,129,1,2,24,126,88,5,1,2,28,28,0,1,2,3,110,1,3,8,34,4
OTU_151,22,33,12,100,5,35,163,13,134,9,157,57,3,8,3,6,0,0,2,1,23,16,8,10,1
OTU_146,11,23,27,126,41,28,33,27,81,104,76,30,9,23,33,5,1,5,7,15,23,21,23,35,0
OTU_89,9,17,10,165,29,20,54,5,107,87,143,29,3,16,9,1,3,4,1,10,29,23,6,14,5
OTU_189,12,18,13,168,5,19,108,30,165,28,78,36,6,13,1,4,2,2,5,3,14,21,15,17,1
OTU_160,19,17,30,140,15,27,57,49,130,39,101,24,4,24,12,2,1,4,3,3,19,16,27,11,8
OTU_13,2,4,134,75,4,1,25,225,99,10,25,8,23,15,3,1,0,13,0,1,2,2,86,4,1
OTU_237,2,1,1,148,76,2,51,107,154,91,115,0,0,3,0,0,2,1,0,0,3,1,0,1,1
OTU_183,25,9,44,1,13,57,64,101,3,26,254,24,11,0,6,4,3,6,0,4,47,26,24,0,3
OTU_5602,3,6,24,158,17,8,21,14,110,232,69,7,10,6,32,0,0,2,0,2,2,6,11,6,0
OTU_139,1,29,0,22,0,8,405,1,14,3,89,87,0,2,0,2,3,0,0,1,7,53,0,0,1
